County,Precinct,Freddie Dickson,Donna Edwards,Ralph Jaffe,Theresa Scaldaferri,Charles Smith,Violet Staley,Blaine Taylor,Ed Tinus,Chris Van Hollen,Lih Young
Montgomery,425,0,43,1,1,0,0,0,0,335,1
Montgomery,426,5,57,5,11,2,12,1,1,312,5
Montgomery,427,2,19,2,1,2,0,0,0,62,4
Montgomery,428,1,55,2,2,0,2,0,1,171,0
Montgomery,429,1,24,0,3,0,0,1,0,116,1
Montgomery,430,1,67,2,6,2,3,2,1,408,1
Montgomery,431,1,67,1,8,1,6,1,2,501,4
Montgomery,432,1,15,2,2,1,0,0,0,256,4
Montgomery,433,0,1,0,0,0,0,0,0,2,0
Montgomery,434,5,76,2,1,1,0,1,0,309,3
Montgomery,435,1,15,0,1,0,0,0,0,41,0
Montgomery,437,0,9,0,3,0,1,0,0,23,1
Montgomery,438,0,3,0,0,0,0,0,0,10,0
Montgomery,440,0,5,1,1,0,1,0,0,8,0
Montgomery,442,0,1,0,0,0,0,0,0,0,0
Montgomery,443,0,1,0,0,0,0,0,0,0,0
Montgomery,501,7,171,2,9,5,4,2,0,452,6
Montgomery,502,10,307,7,9,5,6,4,0,230,4
Montgomery,503,11,277,7,8,3,3,1,0,513,12
Montgomery,504,2,111,3,0,3,2,2,1,374,2
Montgomery,505,3,128,0,4,2,1,1,1,350,2
Montgomery,506,11,213,5,9,3,4,4,0,469,6
Montgomery,508,14,164,6,11,2,3,3,2,450,8
Montgomery,509,5,178,5,2,2,2,4,1,647,4
Montgomery,510,6,131,2,3,1,4,2,0,212,1
Montgomery,511,6,128,7,9,3,5,2,2,360,4
Montgomery,512,10,269,2,12,4,7,2,1,521,10
Montgomery,513,12,282,5,26,9,12,4,0,302,5
Montgomery,514,14,118,4,12,11,2,4,0,172,6
Montgomery,515,2,157,5,10,3,6,1,3,309,9
Montgomery,516,5,171,7,9,1,2,0,3,610,6
Montgomery,517,7,243,4,6,4,6,3,1,317,7
Montgomery,518,1,70,0,2,1,2,0,1,159,3
Montgomery,519,4,170,5,7,1,3,2,1,289,6
Montgomery,521,8,269,3,14,5,3,4,0,299,3
Montgomery,522,1,56,1,1,2,3,0,1,298,2
Montgomery,523,8,315,1,7,3,6,4,1,412,3
Montgomery,601,2,42,2,2,0,2,0,0,248,3
Montgomery,602,3,66,5,2,0,5,1,0,374,5
Montgomery,603,3,57,3,4,4,6,0,0,364,5
Montgomery,604,4,54,5,4,0,2,2,2,508,5
Montgomery,605,5,109,0,7,1,6,1,3,552,3
Montgomery,606,2,75,6,2,4,3,0,2,417,7
Montgomery,607,7,142,6,3,5,8,3,1,357,12
Montgomery,608,4,45,2,1,1,3,1,1,384,4
Montgomery,609,1,51,2,3,1,0,1,1,293,2
Montgomery,610,16,149,2,9,9,10,3,3,353,3
Montgomery,611,0,1,0,0,0,0,0,0,10,0
Montgomery,613,1,46,2,4,2,6,0,3,272,5
Montgomery,614,2,28,3,0,3,3,0,0,200,3
Montgomery,615,7,94,1,5,3,4,8,0,368,12
Montgomery,701,1,60,2,2,0,2,0,3,341,0
Montgomery,702,0,47,0,1,2,1,0,0,548,0
Montgomery,703,1,95,1,1,1,1,0,1,812,1
Montgomery,704,2,119,5,3,1,2,3,1,781,3
Montgomery,705,0,53,1,0,0,0,0,2,593,1
Montgomery,706,0,42,2,1,2,0,0,0,458,0
Montgomery,707,0,56,1,0,0,1,0,3,535,0
Montgomery,708,5,106,5,4,0,5,0,1,491,8
Montgomery,709,1,68,1,1,0,1,0,1,554,3
Montgomery,710,0,78,1,2,0,2,0,0,689,1
Montgomery,711,2,87,0,7,0,6,0,0,842,1
Montgomery,712,0,53,1,2,0,1,2,0,712,0
Montgomery,713,0,64,0,4,1,2,0,0,741,4
Montgomery,715,0,56,0,4,2,1,0,0,800,3
Montgomery,716,0,67,1,3,1,0,0,0,554,3
Montgomery,718,0,65,0,1,1,1,0,2,726,1
Montgomery,719,0,122,1,2,2,3,2,1,1014,2
Montgomery,720,2,66,3,4,1,4,1,1,537,1
Montgomery,721,0,33,0,0,0,0,0,0,327,1
Montgomery,722,1,59,0,5,0,0,0,1,652,2
Montgomery,723,2,106,0,3,2,2,2,1,954,4
Montgomery,724,0,58,1,2,1,0,0,1,619,3
Montgomery,725,2,65,7,1,2,1,4,0,497,4
Montgomery,726,2,138,0,4,0,9,0,1,832,2
Montgomery,727,1,35,0,0,0,0,0,1,458,3
Montgomery,728,4,33,0,2,1,4,1,0,424,1
Montgomery,731,1,35,2,2,0,2,0,0,271,0
Montgomery,732,0,23,0,0,0,2,0,0,251,1
Montgomery,801,1,247,2,5,1,2,2,2,542,6
Montgomery,802,6,192,8,4,2,9,1,1,635,4
Montgomery,803,2,101,2,6,2,5,3,3,513,2
Montgomery,804,2,57,4,6,4,2,0,1,179,2
Montgomery,805,2,127,4,5,3,2,2,1,369,2
